Volcano Number,Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,TypeCategory,Status,Last Known Eruption,Description
357130.0,Mocho-Choshuenco,Chile,Chile-C,-39.927,-72.027,2422.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357022.0,Palomo,Chile,Chile-C,-34.608,-70.295,4860.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357152.0,"Pantojo, Cerro",Chile,Chile-C,-40.77,-71.95,1897.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357040.0,Planchon-Peteroa,Chile,Chile-C,-35.223,-70.568,3977.0,Caldera,Caldera,Historical,D1,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
357160.0,Puntiagudo-Cordon Cenizos,Chile,Chile-C,-40.969,-72.264,2493.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357150.0,Puyehue-Cordon Caulle,Chile,Chile-C,-40.59,-72.117,2236.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357121.0,Quetrupillan,Chile,Chile-C,-39.496,-71.722,2360.0,Caldera,Caldera,Historical,D3,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
357065.0,"Resago, Volcan",Chile,Chile-C,-36.461,-70.903,1890.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
357062.0,San Pedro-Pellado,Chile,Chile-C,-35.989,-70.849,3621.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357111.0,Sollipulli,Chile,Chile-C,-38.97,-71.52,2282.0,Caldera,Caldera,Radiocarbon,D6,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
357030.0,Tinguiririca,Chile,Chile-C,-34.814,-70.352,4280.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357093.0,Tolhuaca,Chile,Chile-C,-38.31,-71.645,2739.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357101.0,Tralihue,Chile,Chile-C,-38.509,-70.898,2448.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
357010.0,Tupungatito,Chile,Chile-C,-33.425,-69.797,5660.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
357120.0,Villarrica,Chile,Chile-C,-39.42,-71.93,2847.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
356011.0,Rapa Nui,Chile,Chile-Is,-27.114,-109.356,501.0,Shield volcanoes,Shield Volcano,Holocene,U,"Plural of shield volcano – multiple broad volcanoes, often in hotspot settings."
,Robinson Crusoe,Chile,Chile-Is,-33.658,-78.85,922.0,Shield volcano,Shield Volcano,Historical,D3,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
,San Felix,Chile,Chile-Is,-26.27,-80.12,183.0,Shield volcano,Shield Volcano,Holocene,U,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
,Unnamed,Chile,Chile-Is,-33.622,-78.78,0.0,Submarine volcano,Submarine Volcano,Historical,D3,Same as 'Submarine' – underwater/partly underwater volcanic edifice.
,Unnamed,Chile,Chile-Is,-33.62,-76.83,-642.0,Submarine volcano,Submarine Volcano,Uncertain,Unknown,Same as 'Submarine' – underwater/partly underwater volcanic edifice.
355122.0,"Bayo Gorbea, Cerro",Argentina,Chile-N,-25.414,-68.588,5413.0,Complex volcano,Stratovolcano,Holocene,U,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
355121.0,Cordon del Azufre,Argentina,Chile-N,-25.336,-68.521,5481.0,Complex volcano,Stratovolcano,Holocene,U,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
355112.0,Corrida de Cori Volcanic Field,Argentina,Chile-N,-25.083,-68.367,5451.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355110.0,Llullaillaco,Argentina,Chile-N,-24.72,-68.53,6739.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355130.0,"Ojos del Salado, Nevados",Argentina,Chile-N,-27.109,-68.541,6879.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355109.0,Socompa,Argentina,Chile-N,-24.396,-68.246,6031.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355061.0,"Azufre, Cerro del",Bolivia,Chile-N,-21.787,-68.237,5846.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355093.0,Guayaques,Bolivia,Chile-N,-22.895,-67.566,5598.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
355040.0,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355050.0,Olca-Paruma,Bolivia,Chile-N,-20.939,-68.413,5705.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355091.0,Sairecabur,Bolivia,Chile-N,-22.719,-67.891,5961.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355096.0,Acamarachi,Chile,Chile-N,-23.292,-67.618,6023.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355104.0,Caichinque,Chile,Chile-N,-23.949,-67.74,4458.0,Maar,Maars / Tuff ring,Holocene,U,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
355098.0,Chiliques,Chile,Chile-N,-23.58,-67.7,5778.0,Stratovolcano,Stratovolcano,Holocene?,?,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355095.0,Colachi,Chile,Chile-N,-23.236,-67.645,5631.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Copiapo,Chile,Chile-N,-27.3,-69.13,6052.0,Stratovolcano,Stratovolcano,Uncertain,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355101.0,Cordon de Puntas Negras,Chile,Chile-N,-23.743,-67.534,5852.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355020.0,Guallatiri,Chile,Chile-N,-18.42,-69.092,6071.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355030.0,Isluga,Chile,Chile-N,-19.15,-68.83,5550.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355100.0,Lascar,Chile,Chile-N,-23.37,-67.73,5592.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355120.0,Lastarria,Chile,Chile-N,-25.168,-68.507,5706.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355092.0,Licancabur,Chile,Chile-N,-22.83,-67.88,5916.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355102.0,Miniques,Chile,Chile-N,-23.82,-67.77,5910.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355106.0,"Negrillar, El",Chile,Chile-N,-24.18,-68.25,3500.0,Pyroclastic cone,Cone,Holocene,Unknown,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
355108.0,"Negrillar, La",Chile,Chile-N,-24.319,-68.59,4220.0,Pyroclastic cone,Cone,Holocene,Unknown,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
355097.0,"Overo, Cerro",Chile,Chile-N,-23.52,-67.67,4555.0,Maar,Maars / Tuff ring,Holocene,U,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
355094.0,Purico Complex,Chile,Chile-N,-23.0,-67.75,5703.0,Pyroclastic shield,Shield Volcano,Holocene,U,A rare type of shield volcano built mostly from pyroclastic flows rather than fluid lava.
355090.0,Putana,Chile,Chile-N,-22.557,-67.853,5884.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355070.0,San Pedro-San Pablo,Chile,Chile-N,-21.888,-68.391,6142.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355011.0,Taapaca,Chile,Chile-N,-18.1,-69.5,5860.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
355010.0,Tacora,Chile,Chile-N,-17.721,-69.773,5960.0,Stratovolcano,Stratovolcano,Fumarolic,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355032.0,Tata Sabaya,Chile,Chile-N,-19.13,-68.53,5430.0,Unknown,Other / Unknown,Holocene,Unknown,Indicates the volcano type is not determined or classified.
355105.0,Tilocalar,Chile,Chile-N,-23.97,-68.13,3109.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
355103.0,"Tujle, Cerro",Chile,Chile-N,-23.83,-67.95,3550.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358062.0,Aguilera,Chile,Chile-S,-50.33,-73.75,2546.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358059.0,Arenales,Chile,Chile-S,-47.2,-73.483,3437.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358070.0,"Burney, Monte",Chile,Chile-S,-52.33,-73.4,1758.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358020.0,Calbuco,Chile,Chile-S,-41.33,-72.618,1974.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358055.0,Cay,Chile,Chile-S,-45.059,-72.984,2090.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Cayute-La Vigueria,Chile,Chile-S,-41.25,-72.27,506.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
358012.0,Cayutue-La Vigueria,Chile,Chile-S,-41.3,-72.27,506.0,Pyroclastic cones,Cone,Tephrochronology,D7,Plural of pyroclastic cone – multiple small cones built from explosively ejected fragments.
358041.0,Chaiten,Chile,Chile-S,-42.835,-72.651,1122.0,Caldera,Caldera,Holocene,D1,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
358050.0,Corcovado,Chile,Chile-S,-43.189,-72.794,1826.0,Stratovolcanoes,Stratovolcano,Radiocarbon,D7,Plural form of stratovolcano.
358090.0,Fueguino,Chile,Chile-S,-54.97,-70.262,157.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
358023.0,Hornopiren,Chile,Chile-S,-41.874,-72.431,1572.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358057.0,"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358030.0,Huequi,Chile,Chile-S,-42.377,-72.578,1318.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358060.0,Lautaro,Chile,Chile-S,-49.019,-73.504,3542.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358056.0,Maca,Chile,Chile-S,-45.1,-73.17,2960.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358052.0,Melimoyu,Chile,Chile-S,-44.08,-72.88,2400.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
358054.0,Mentolat,Chile,Chile-S,-44.7,-73.08,1660.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
358064.0,Meullin,Chile,Chile-S,-45.22,-73.05,1080.0,Volcanic field,Crater System,,Unknown,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
358040.0,Michinmahuida,Chile,Chile-S,-42.799,-72.445,2452.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358010.0,Osorno,Chile,Chile-S,-41.105,-72.496,2659.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358051.0,Palena Volcanic Group,Chile,Chile-S,-43.42,-72.83,2991.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358080.0,Pali-Aike Volcanic Field,Chile,Chile-S,-52.082,-69.698,282.0,Cinder cone,Cone,Anthropology,D7,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
358053.0,Puyuhuapi,Chile,Chile-S,-44.3,-72.53,524.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358063.0,Reclus,Chile,Chile-S,-50.964,-73.58,1403.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,Río Murta,Chile,Chile-S,-46.167,-72.667,,Pyroclastic cones,Cone,Holocene?,?,Plural of pyroclastic cone – multiple small cones built from explosively ejected fragments.
358011.0,Tronador,Chile,Chile-S,-41.157,-71.885,3478.0,Stratovolcano,Stratovolcano,Holocene?,?,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358049.0,Yanteles,Chile,Chile-S,-43.469,-72.782,1790.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358022.0,Yate,Chile,Chile-S,-41.755,-72.396,2187.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
358025.0,Crater Basalt Volcanic Field,Argentina,Chile-S/Argentina,-42.018,-70.194,1344.0,Cinder cones,Cone,Holocene,U,Plural form of cinder cone – small volcanoes composed of pyroclastic fragments around a vent.
305011.0,Arxan-Chaihe,China,China-E,47.45,120.8,1677.0,Cinder cones,Cone,Radiocarbon,D,Plural form of cinder cone – small volcanoes composed of pyroclastic fragments around a vent.
305010.0,Honggeertu,China,China-E,41.59,113.111,1605.0,Cinder cone,Cone,Holocene,Unknown,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
305040.0,Jingpohu,China,China-E,44.08,128.83,1000.0,Volcanic field,Crater System,Radiocarbon,D7,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
305020.0,Keluo Group,China,China-E,49.37,125.92,670.0,Pyroclastic cone,Cone,Holocene,U,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
305050.0,Longgang Group,China,China-E,42.33,126.5,1000.0,Cinder cone,Cone,Radiocarbon,D4,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
305030.0,Wudalianchi,China,China-E,48.722,126.15,597.0,Volcanic field,Crater System,Historical,D4,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
305060.0,Changbaishan,North Korea,China-E,41.98,128.08,2744.0,Stratovolcano,Stratovolcano,Historical,D4,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
275110.0,Tengchong,China,China-S,25.23,98.5,2865.0,Pyroclastic cone,Cone,Historical,D5,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
304030.0,Ashikule Volcanic Field,China,China-W,35.742,81.646,5090.0,Pyroclastic cone,Cone,Historical,D2,"A cone built from pyroclastic material (ash, lapilli, bombs) around a vent."
,Tianshan Volc Group,China,China-W,42.5,82.5,0.0,Volcanic field,Crater System,Historical,D6,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
,Turfan,China,China-W,42.9,89.25,0.0,Cone,Cone,Historical,D6,A generic term for a volcanic cone formed by ejected fragments around a vent.
,Unnamed,China,China-W,35.85,91.7,5400.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
351090.0,Azufral,Colombia,Colombia,1.08,-77.68,4070.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351012.0,"Bravo, Cerro",Colombia,Colombia,5.091,-75.293,3985.0,Stratovolcano,Stratovolcano,Radiocarbon,D4,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351100.0,Cumbal,Colombia,Colombia,0.95,-77.87,4764.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351070.0,Dona Juana,Colombia,Colombia,1.5,-76.936,4137.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351080.0,Galeras,Colombia,Colombia,1.22,-77.37,4276.0,Complex volcano,Stratovolcano,Historical,D1,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
351050.0,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364.0,Stratovolcano,Stratovolcano,Historical,D5,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351040.0,Machin,Colombia,Colombia,4.487,-75.389,2749.0,Stratovolcano,Stratovolcano,Radiocarbon,D6,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351062.0,Petacas,Colombia,Colombia,1.57,-76.78,3280.0,Lava dome,Cone,Holocene,Unknown,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
351060.0,Purace,Colombia,Colombia,2.32,-76.4,4650.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351011.0,Romeral,Colombia,Colombia,5.203,-75.363,3769.0,Stratovolcano,Stratovolcano,Radiocarbon,D4,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351020.0,"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351021.0,Santa Isabel,Colombia,Colombia,4.818,-75.365,4944.0,Shield volcano,Shield Volcano,Radiocarbon,D7,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
351061.0,Sotara,Colombia,Colombia,2.108,-76.592,4400.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351030.0,"Tolima, Nevado del",Colombia,Colombia,4.658,-75.33,5215.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
351110.0,Chiles-Cerro Negro,Ecuador,Colombia,0.817,-77.938,4698.0,Stratovolcano,Stratovolcano,Holocene,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345033.0,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345050.0,Barva,Costa Rica,Costa Rica,10.135,-84.1,2906.0,Complex volcano,Stratovolcano,Tephrochronology,D7,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
345060.0,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345030.0,Miravalles,Costa Rica,Costa Rica,10.748,-85.153,2028.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345010.0,Orosi,Costa Rica,Costa Rica,10.98,-85.473,1659.0,Stratovolcano,Stratovolcano,Uncertain,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345034.0,Platanar,Costa Rica,Costa Rica,10.3,-84.366,2267.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345040.0,Poas,Costa Rica,Costa Rica,10.2,-84.233,2697.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345020.0,Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916.0,Complex volcano,Stratovolcano,Historical,D1,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
345031.0,Tenorio,Costa Rica,Costa Rica,10.673,-85.015,1916.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
345070.0,Turrialba,Costa Rica,Costa Rica,10.025,-83.767,3340.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
253060.0,Dawson Strait Group,Papua New Guinea,D'Entrecasteaux Is,-9.62,150.88,500.0,Volcanic field,Crater System,Hydration Rind,D6,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
253041.0,Goodenough,Papua New Guinea,D'Entrecasteaux Is,-9.358,150.246,220.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
253050.0,Iamalele,Papua New Guinea,D'Entrecasteaux Is,-9.506,150.524,194.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
352031.0,Aliso,Ecuador,Ecuador,-0.53,-78.0,4267.0,Stratovolcano,Stratovolcano,,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352030.0,Antisana,Ecuador,Ecuador,-0.481,-78.141,5753.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352021.0,Atacazo,Ecuador,Ecuador,-0.353,-78.617,4463.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352006.0,Cayambe,Ecuador,Ecuador,0.029,-77.986,5790.0,Compound volcano,Stratovolcano,Historical,D4,A volcanic edifice made up of two or more overlapping volcanoes or vents.
352022.0,Chacana,Ecuador,Ecuador,-0.375,-78.25,4643.0,Caldera,Caldera,Historical,D4,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
352002.0,Chachimbiro,Ecuador,Ecuador,0.468,-78.287,4106.0,Caldera,Caldera,Radiocarbon,D7,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
352071.0,Chimborazo,Ecuador,Ecuador,-1.469,-78.817,6261.0,Stratovolcano,Stratovolcano,Radiocarbon,D6,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352050.0,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352003.0,Cuicocha,Ecuador,Ecuador,0.308,-78.364,3246.0,Stratovolcano,Stratovolcano,Holocene,Unknown,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352020.0,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352041.0,Iliniza,Ecuador,Ecuador,-0.662,-78.716,5162.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352004.0,Imbabura,Ecuador,Ecuador,0.258,-78.183,4609.0,Compound volcano,Stratovolcano,Historical,D4,A volcanic edifice made up of two or more overlapping volcanoes or vents.
352081.0,Licto,Ecuador,Ecuador,-1.786,-78.614,3322.0,Scoria cone,Cone,Holocene,U,A small volcanic cone composed of scoria (vesicular basaltic fragments) around a vent.
352005.0,Mojanda,Ecuador,Ecuador,0.13,-78.27,4263.0,Stratovolcanoes,Stratovolcano,Holocene?,?,Plural form of stratovolcano.
352011.0,Pululahua,Ecuador,Ecuador,0.046,-78.49,3360.0,Caldera,Caldera,Radiocarbon,D7,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
352060.0,Quilotoa,Ecuador,Ecuador,-0.859,-78.904,3914.0,Caldera,Caldera,Radiocarbon,D6,A large depression formed when a volcano’s summit or magma chamber collapses after a major eruption.
352010.0,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352090.0,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352001.0,Soche,Ecuador,Ecuador,0.552,-77.58,3955.0,Stratovolcano,Stratovolcano,Radiocarbon,D7,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352040.0,Sumaco,Ecuador,Ecuador,-0.538,-77.626,3990.0,Stratovolcano,Stratovolcano,Historical,D3,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
352080.0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
343010.0,Apaneca Range,El Salvador,El Salvador,13.872,-89.742,2028.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
343071.0,Apastepeque Field,El Salvador,El Salvador,13.72,-88.77,700.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
343101.0,"Aramuaca, Laguna",El Salvador,El Salvador,13.428,-88.105,181.0,Maar,Maars / Tuff ring,Holocene,U,"A broad, shallow crater formed by explosive interaction of magma with groundwater (phreatomagmatic)."
343090.0,Chinameca,El Salvador,El Salvador,13.478,-88.33,1300.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
